,sale_month_year,building_class_category,sale_price
106,2011-11-01,ONE FAMILY HOMES,529799.4757281553
107,2011-12-01,ONE FAMILY HOMES,590233.6818181818
108,2012-01-01,ONE FAMILY HOMES,711270.3736263736
109,2012-02-01,ONE FAMILY HOMES,634160.8796992481
110,2012-03-01,ONE FAMILY HOMES,573049.8174603175
111,2012-04-01,ONE FAMILY HOMES,719478.6831683168
112,2012-05-01,ONE FAMILY HOMES,635094.2740740741
113,2012-06-01,ONE FAMILY HOMES,638778.2164179104
114,2012-07-01,ONE FAMILY HOMES,586421.3650793651
115,2012-08-01,ONE FAMILY HOMES,667461.5635359116
116,2012-09-01,ONE FAMILY HOMES,568781.4074074074
117,2012-10-01,ONE FAMILY HOMES,498879.5
118,2012-11-01,ONE FAMILY HOMES,659581.4363636364
119,2012-12-01,ONE FAMILY HOMES,830735.3212121212
120,2013-01-01,ONE FAMILY HOMES,651734.0875912409
121,2013-02-01,ONE FAMILY HOMES,546619.1615384616
122,2013-03-01,ONE FAMILY HOMES,669502.0161290322
123,2013-04-01,ONE FAMILY HOMES,623521.6484375
124,2013-05-01,ONE FAMILY HOMES,585920.106918239
125,2013-06-01,ONE FAMILY HOMES,627774.6289308176
126,2013-07-01,ONE FAMILY HOMES,705075.0631578948
127,2013-08-01,ONE FAMILY HOMES,678806.5136612022
128,2013-09-01,ONE FAMILY HOMES,631707.7916666666
129,2013-10-01,ONE FAMILY HOMES,601623.0528846154
130,2013-11-01,ONE FAMILY HOMES,681324.7835820896
131,2013-12-01,ONE FAMILY HOMES,710952.7567567568
132,2014-01-01,ONE FAMILY HOMES,836612.3576642335
133,2014-02-01,ONE FAMILY HOMES,706461.0
134,2014-03-01,ONE FAMILY HOMES,715917.2389937107
135,2014-04-01,ONE FAMILY HOMES,707210.0378787878
136,2014-05-01,ONE FAMILY HOMES,787755.8838709678
137,2014-06-01,ONE FAMILY HOMES,810345.5921052631
138,2014-07-01,ONE FAMILY HOMES,688692.3301435406
139,2014-08-01,ONE FAMILY HOMES,755206.0773809524
140,2014-09-01,ONE FAMILY HOMES,747030.0395480226
141,2014-10-01,ONE FAMILY HOMES,835743.4756097561
142,2014-11-01,ONE FAMILY HOMES,835585.2971014492
143,2014-12-01,ONE FAMILY HOMES,664118.7219251337
144,2015-01-01,ONE FAMILY HOMES,804492.6283783783
145,2015-02-01,ONE FAMILY HOMES,919689.7194244604
146,2015-03-01,ONE FAMILY HOMES,820064.3214285715
147,2015-04-01,ONE FAMILY HOMES,780343.4838709678
148,2015-05-01,ONE FAMILY HOMES,870378.7605633803
149,2015-06-01,ONE FAMILY HOMES,913082.026737968
150,2015-07-01,ONE FAMILY HOMES,937970.6028708135
151,2015-08-01,ONE FAMILY HOMES,749511.3551912569
152,2015-09-01,ONE FAMILY HOMES,815169.6102564102
153,2015-10-01,ONE FAMILY HOMES,949382.5392670158
154,2015-11-01,ONE FAMILY HOMES,864892.3450292398
155,2015-12-01,ONE FAMILY HOMES,827128.9523809524
156,2016-01-01,ONE FAMILY HOMES,882852.6878980892
157,2016-02-01,ONE FAMILY HOMES,770676.4879518072
158,2016-03-01,ONE FAMILY HOMES,840496.5580110498
159,2016-04-01,ONE FAMILY HOMES,797614.0065789474
160,2016-05-01,ONE FAMILY HOMES,763682.2651933702
161,2016-06-01,ONE FAMILY HOMES,848808.9144385026
162,2016-07-01,ONE FAMILY HOMES,1046925.3085106383
163,2016-08-01,ONE FAMILY HOMES,779300.1343283582
164,2016-09-01,ONE FAMILY HOMES,841917.8779342723
165,2016-10-01,ONE FAMILY HOMES,883464.2222222222
166,2016-11-01,ONE FAMILY HOMES,823760.1043956043
167,2016-12-01,ONE FAMILY HOMES,848018.2486187845
